state,expenditure,year,raw,inf_adj,inf_adj_perchild
South Dakota,edsubs,1997,6887,9819.768555,0.045030352
Tennessee,edsubs,1997,84210,120070.0938,0.083600707
Texas,edsubs,1997,338872,483177.6875,0.081202157
Utah,edsubs,1997,42806,61034.5625,0.081931859
Vermont,edsubs,1997,36852,52545.10156,0.33187288
Virginia,edsubs,1997,214773,306232.2188,0.17267628
Washington,edsubs,1997,260298,371143.625,0.239230961
West Virginia,edsubs,1997,38718,55205.72266,0.123901606
Wisconsin,edsubs,1997,175386,250072.5938,0.174050108
Wyoming,edsubs,1997,19453,27736.89063,0.194709063
Alabama,edservs,1997,246057,350838.2188,0.295500427
Alaska,edservs,1997,52355,74649.92188,0.379158795
Arizona,edservs,1997,170281,242793.6719,0.186288759
Arkansas,edservs,1997,189808,270636.0625,0.376716375
California,edservs,1997,943805,1345716.125,0.14078404
Colorado,edservs,1997,77419,110387.2031,0.101746202
Connecticut,edservs,1997,138932,198094.9844,0.231760517
Delaware,edservs,1997,81880,116747.8828,0.5929268
District of Columbia,edservs,1997,0,0,0
Florida,edservs,1997,269777,384659.1875,0.104490496
Georgia,edservs,1997,367228,523608.8438,0.244135708
Hawaii,edservs,1997,11592,16528.35156,0.050950214
Idaho,edservs,1997,41141,58660.53516,0.154375106
Illinois,edservs,1997,426879,608661.6875,0.179495439
Indiana,edservs,1997,162305,231421.1719,0.142117515
Iowa,edservs,1997,103997,148283.2188,0.191331953
Kansas,edservs,1997,81016,115515.9531,0.155465022
Kentucky,edservs,1997,235765,336163.4688,0.317001969
Louisiana,edservs,1997,213250,304060.6563,0.231888756
Maine,edservs,1997,65699,93676.34375,0.290686518
Maryland,edservs,1997,181476,258755.9688,0.186948225
Massachusetts,edservs,1997,347996,496187.0625,0.318918049
Michigan,edservs,1997,188167,268296.2813,0.098535128
Minnesota,edservs,1997,149708,213459.8438,0.160116896
Mississippi,edservs,1997,104690,149271.3281,0.181799427
Missouri,edservs,1997,166343,237178.7188,0.158304989
Montana,edservs,1997,54581,77823.84375,0.315509319
Nebraska,edservs,1997,50470,71962.21094,0.151389122
Nevada,edservs,1997,30146,42983.41016,0.092484973
New Hampshire,edservs,1997,14867,21197.98242,0.066591218
New Jersey,edservs,1997,103264,147238.0781,0.069217078
New Mexico,edservs,1997,41443,59091.14063,0.109108187
New York,edservs,1997,337101,480652.5,0.097806893
North Carolina,edservs,1997,230018,327969.1563,0.166924194
North Dakota,edservs,1997,38488,54877.77734,0.308350623
Ohio,edservs,1997,219720,313285.8438,0.102489479
Oklahoma,edservs,1997,82564,117723.1563,0.124665268
Oregon,edservs,1997,117899,168105.2656,0.191748425
Pennsylvania,edservs,1997,757693,1080349.875,0.347720295
Rhode Island,edservs,1997,65644,93597.92188,0.364797503
South Carolina,edservs,1997,130518,186097.9531,0.175734535
South Dakota,edservs,1997,33461,47710.07422,0.218783304
Tennessee,edservs,1997,155241,221349.0156,0.154117763
Texas,edservs,1997,347883,496025.9375,0.083361417
Utah,edservs,1997,95278,135851.2969,0.182364687
Vermont,edservs,1997,34842,49679.16016,0.313771695
Virginia,edservs,1997,157985,225261.5313,0.127019033
Washington,edservs,1997,180067,256746.9531,0.165493399
West Virginia,edservs,1997,98348,140228.6406,0.31472379
Wisconsin,edservs,1997,145170,206989.375,0.144064263
Wyoming,edservs,1997,21407,30522.98438,0.214267045
Alabama,pell,1997,120833.258,172289.0469,0.145113871
Alaska,pell,1997,7574.933,10800.65234,0.054858226
Arizona,pell,1997,120449.842,171742.3594,0.131773084
Arkansas,pell,1997,65903.625,93968.10938,0.130800471
California,pell,1997,775291.674,1105442.875,0.11564751
Colorado,pell,1997,79003.771,112646.8359,0.103828952
Connecticut,pell,1997,36453.307,51976.62891,0.060809869
Delaware,pell,1997,9964.552,14207.86914,0.072157428
District of Columbia,pell,1997,18972.246,27051.41016,0.212899297
Florida,pell,1997,318611.385,454289.25,0.123405106
Georgia,pell,1997,152763.85,217817,0.101558462
Hawaii,pell,1997,16001.057,22814.9668,0.070329301
