state,variable,year,raw
Louisiana,PK12ed,2002,4712385
Maine,PK12ed,2002,1629132
Maryland,PK12ed,2002,6750217
Massachusetts,PK12ed,2002,8878797
Michigan,PK12ed,2002,13289512
Minnesota,PK12ed,2002,6255499
Mississippi,PK12ed,2002,2557214
Missouri,PK12ed,2002,6239488
Montana,PK12ed,2002,1011270
Nebraska,PK12ed,2002,2002583
Nevada,PK12ed,2002,2071579
New Hampshire,PK12ed,2002,1578079
New Jersey,PK12ed,2002,14339221
New Mexico,PK12ed,2002,2086036
New York,PK12ed,2002,33129748
North Carolina,PK12ed,2002,8186308
North Dakota,PK12ed,2002,650095
Ohio,PK12ed,2002,13705348
Oklahoma,PK12ed,2002,3789155
Oregon,PK12ed,2002,4113264
Pennsylvania,PK12ed,2002,13776307
Rhode Island,PK12ed,2002,1510733
South Carolina,PK12ed,2002,4590736
South Dakota,PK12ed,2002,772880
Tennessee,PK12ed,2002,5180110
Texas,PK12ed,2002,25937940
Utah,PK12ed,2002,2352648
Vermont,PK12ed,2002,855218
Virginia,PK12ed,2002,9009250
Washington,PK12ed,2002,6732029
West Virginia,PK12ed,2002,2067039
Wisconsin,PK12ed,2002,7392504
Wyoming,PK12ed,2002,750299
Alabama,PK12ed,2003,4429788.5
Alaska,PK12ed,2003,1287792
Arizona,PK12ed,2003,5087547.5
Arkansas,PK12ed,2003,2742677.5
California,PK12ed,2003,47133896
Colorado,PK12ed,2003,5098218
Connecticut,PK12ed,2003,5616506
Delaware,PK12ed,2003,1104904.5
District of Columbia,PK12ed,2003,1074550.5
Florida,PK12ed,2003,15942330
Georgia,PK12ed,2003,10943194
Hawaii,PK12ed,2003,1437251
Idaho,PK12ed,2003,1463532.5
Illinois,PK12ed,2003,15638463
Indiana,PK12ed,2003,7158032.5
Iowa,PK12ed,2003,3355059
Kansas,PK12ed,2003,3208909.5
Kentucky,PK12ed,2003,3805340.5
Louisiana,PK12ed,2003,4956157
Maine,PK12ed,2003,1719462.5
Maryland,PK12ed,2003,7025355.5
Massachusetts,PK12ed,2003,9210822
Michigan,PK12ed,2003,14526650
Minnesota,PK12ed,2003,6518921
Mississippi,PK12ed,2003,2768885
Missouri,PK12ed,2003,6378907.5
Montana,PK12ed,2003,1059499
Nebraska,PK12ed,2003,2091298
Nevada,PK12ed,2003,2223329.5
New Hampshire,PK12ed,2003,1694874.5
New Jersey,PK12ed,2003,15736990
New Mexico,PK12ed,2003,2217139.5
New York,PK12ed,2003,34949696
North Carolina,PK12ed,2003,8493724
North Dakota,PK12ed,2003,700356.5
Ohio,PK12ed,2003,14730983
Oklahoma,PK12ed,2003,3767632.5
Oregon,PK12ed,2003,4096150.5
Pennsylvania,PK12ed,2003,15621619
Rhode Island,PK12ed,2003,1627560.5
South Carolina,PK12ed,2003,4743824
South Dakota,PK12ed,2003,801768.5
Tennessee,PK12ed,2003,5436217.5
Texas,PK12ed,2003,27454870
Utah,PK12ed,2003,2402023.5
Vermont,PK12ed,2003,956326.5
Virginia,PK12ed,2003,9347617
Washington,PK12ed,2003,6941104.5
West Virginia,PK12ed,2003,2130596
Wisconsin,PK12ed,2003,7667578.5
Wyoming,PK12ed,2003,776085
Alabama,PK12ed,2004,4586366
Alaska,PK12ed,2004,1331808
Arizona,PK12ed,2004,5506064
Arkansas,PK12ed,2004,2907074
California,PK12ed,2004,48875660
Colorado,PK12ed,2004,5371670
Connecticut,PK12ed,2004,5891958
Delaware,PK12ed,2004,1175147
District of Columbia,PK12ed,2004,1142971
Florida,PK12ed,2004,17109014
Georgia,PK12ed,2004,11445101
Hawaii,PK12ed,2004,1568029
Idaho,PK12ed,2004,1492662
Illinois,PK12ed,2004,16612597
