school,public_private,overall_score,peer_assessment_score,graduation_and_retention_rank,average_first_year_retention_rate,predicted_graduation_rate,actual_graduation_rate,over_underperformance,pell_gradrate,social_mobility_rank,faculty_resources_rank,percent_of_classes_under_20,percent_of_classes_of_50_or_more_students,student_faculty_ratio,selectivity_rank,sat_act_25th_percentile,sat_act_75th_percentile,first_year_students_in_top_10_percent_of_high_school_class,acceptance_rate,financial_resources_rank,average_alumni_giving_rate
University of Louisville (KY),public,38,2.8,247,80,64,57,-7,47,165,182,40,9,14,198,22,29,24,73,69,9
Bellarmine University (KY),private,37,2.2,187,78,66,67,1,63,147,136,52,1,11,173,22,28,NA,86,231,12
Bethel University (MN),private,37,2,117,86,73,75,2,67,224,194,55,2,12,152,22,28,25,71,276,9
Illinois State University,public,37,2.5,145,81,62,69,7,61,224,271,37,10,18,318,20,26,NA,89,231,6
Loyola University New Orleans,private,37,2.7,215,80,69,61,-8,50,214,120,46,2,12,173,22,28,25,75,140,6
Towson University (MD),public,37,2.5,127,85,61,73,12,72,186,328,28,3,17,256,1060,1200,14,79,359,4
Edgewood College (WI),private,36,1.7,203,79,58,63,5,63,14,69,85,0,10,215,20,25,17,73,231,6
Florida Institute of Technology,private,36,2.4,215,81,61,60,-1,51,297,169,45,4,14,113,1150,1340,29,65,200,7
Maryville Univ. of St. Louis,private,36,1.9,122,86,63,72,9,69,176,210,72,1,14,215,20,26,24,95,303,5
Pace University (NY),private,36,2.5,247,79,59,56,-3,53,34,120,51,3,14,234,1060,1220,15,76,183,4
Regis University (CO),private,36,2.2,154,80,64,68,4,67,113,194,59,0,14,204,1050,1230,25,60,276,4
Robert Morris University (PA),private,36,2.2,203,82,57,64,7,54,159,95,40,4,15,265,1030,1200,15,85,244,7
University of Maine,public,36,2.8,230,76,61,60,-1,51,186,280,39,16,15,245,1050,1250,18,92,148,7
University of St. Francis (IL),private,36,1.9,195,79,52,62,10,54,90,169,64,0.3,12,265,1030,1190,12,47,231,8
Widener University (PA),private,36,2.2,219,80,54,63,9,58,138,85,57,2,13,295,1020,1200,NA,69,219,3
California State University--Fresno,public,35,2.5,230,81,37,54,17,50,27,320,19,9,23,364,910,1110,15,58,370,3
Georgia State University,public,35,2.9,247,83,53,54,1,56,8,300,22,16,25,336,990,1190,17,57,265,4
Immaculata University (PA),private,35,1.8,176,79,51,68,17,53,186,147,86,0,9,334,1018,1223,9,81,283,7
